popular_similar_charities,rated_similar_charities,charity_url,charity_phoneNumber,charity_Name,homepage_Link,transperancy_Stars,agent_contactEmail,overall_starRating,charity_address
"Oorah,Yad L'Achim Peyle Israel,Hebrew Free Burial Association,Aish New York","Hebrew Free Burial Association,BBYO,Institute of Southern Jewish Life,The Jewish Education Project",,"
			tel: (212) 644-2332",Hazon,http://www.hazon.org/,96.00,,86.90,"
		
			125 Maiden Lane,
			Suite 8B, New York, NY 10038"
"American Civil Liberties Union Foundation,AARP Foundation,Southern Poverty Law Center,Mothers Against Drunk Driving","Families Against Mandatory Minimums Foundation,National Association for the Advancement of Colored People,Southern Poverty Law Center,American Civil Liberties Union Foundation",,"
			tel: (612) 879-0602",Headwaters Foundation for Social Justice,http://www.headwatersfoundation.org,94.00,,93.63,"
		
			2801 21st Ave S,
			Suite 132-B, Minneapolis, MN 55407"
"FIRST,DonorsChoose.org,Kids In Need Foundation,Adopt-A-Classroom","FIRST,Green Dot Public Schools,Enactus,Coalition for Engaged Education",,"
			tel: (212) 663-9732",HEAF,http://www.heaf.org,93.00,,88.44,"
		
			2090 Seventh Avenue,
			10th Floor, New York, NY 10027"
"Planned Parenthood Federation of America,International Planned Parenthood Federation/Western Hemisphere Region,Advocates for Youth,EngenderHealth","Planned Parenthood of Western Pennsylvania,Planned Parenthood Federation of America,International Planned Parenthood Federation/Western Hemisphere Region,Planned Parenthood of New York City",, fax: (520) 321-9766,Heads of Hope Tucson,http://givehopetucson.com/,93.00,,72.27,"
		
			7777 East Speedway Boulevard,
			Tucson, AZ 85711,
			tel: (520) 321-9765"
"The Elephant Sanctuary,Performing Animal Welfare Society,Big Cat Rescue,Tiger Haven","The Wild Animal Sanctuary,The Elephant Sanctuary,Center for Great Apes,Big Cat Rescue",, fax: (610) 756-4468,Hawk Mountain Sanctuary,http://www.hawkmountain.org/,96.00,,86.23,"
		
			1700 Hawk Mountain Road,
			Kempton, PA 19529,
			tel: (610) 756-6000"
"American Bible Society,Answers in Genesis,Ravi Zacharias International Ministries,Ramesh Richard Evangelism and Church Health","Ravi Zacharias International Ministries,Pioneer Bible Translators,Mesorah Heritage Foundation,World Missionary Press",,"
			tel: (877) 998-9777",Hawaiian Islands Ministries,http://www.himonline.org/,74.00,,75.45,"
		
			2752 Woodlawn Drive,
			Suite 5-214, Honolulu, HI 96822"
"World Wildlife Fund,National Wildlife Federation,Defenders of Wildlife,Wildlife Conservation Network","Cheetah Conservation Fund,American Bird Conservancy,World Wildlife Fund,Bat Conservation International",, fax: (801) 484-6810,HawkWatch International,http://www.hawkwatch.org/,97.00,,80.98,"
		
			2240 South 900 East,
			Salt Lake City, UT 84106,
			tel: (800) 726-4295"
"New Jersey Performing Arts Center,McCarter Theatre Center for the Performing Arts,Lincoln Center for the Performing Arts,The John F. Kennedy Center for the Performing Arts","Community Arts Music Association,New 42nd Street,Brooklyn Academy of Music,SFJAZZ",,"
			tel: (808) 791-1301",Hawaii Theatre Center,http://www.hawaiitheatre.com,86.00,,84.32,"
		
			1132 Bishop Street,
			Suite 1404, Honolulu, HI 96813"
"ETV Endowment of South Carolina,WETA,WGBH Boston,Oregon Public Broadcasting","Maine Public Broadcasting Network,WAMC/Northeast Public Radio,ETV Endowment of South Carolina,KERA",, fax: (808) 946-3863,Hawaii Public Radio,http://www.hawaiipublicradio.org/,93.00,,93.75,"
		
			738 Kaheka Street,
			Honolulu, HI 96814,
			tel: (808) 955-8821"
"Community Foundation of New Jersey,Austin Community Foundation,California Community Foundation,Orange County Community Foundation","The Saint Paul Foundation,New Hampshire Charitable Foundation,Community Foundation for Southeast Michigan,Hampton Roads Community Foundation",, fax: (808) 521-6286,Hawaii Community Foundation,http://www.hawaiicommunityfoundation.org/,96.00,,85.91,"
		
			827 Fort Street Mall,
			Honolulu, HI 96813,
			tel: (888) 731-3863"
"Florida Grand Opera,Metropolitan Opera,Virginia Opera,Boston Lyric Opera","Palm Beach Opera,Boston Lyric Opera,Glimmerglass Festival,Seattle Opera",,"
			tel: (808) 596-7372",Hawaii Opera Theatre,http://www.hawaiiopera.org,89.00,,82.96,"
		
			848 South Beretania Street,
			Suite 301, Honolulu, HI 96813"
"Midwest Food Bank,Community FoodBank of New Jersey,City Harvest,The Billings Food Bank","Long Island Cares,Mid-South Food Bank,The Food Bank for Central & Northeast Missouri,Food Bank of the Rio Grande Valley, Inc.",, fax: (808) 836-2272,Hawaii Foodbank,http://www.hawaiifoodbank.org/,100.00,,95.60,"
		
			2611 Kilihau Street,
			Honolulu, HI 96819    ,
			tel: (808) 836-3600"
"Hillsdale College,Wellesley College,Wheaton College,Amherst College","Colorado College,Wabash College,Swarthmore College,Cornell College",," 
            ",Haverford College,http://www.haverford.edu,93.00,,92.91,"
		
			370 Lancaster Avenue,
			Haverford, PA 19041    ,
			tel: (866) 443-8442"
"Jewish Voice Ministries International,Billy Graham Evangelistic Association,Andrew Wommack Ministries,Christian Broadcasting Network","Billy Graham Evangelistic Association,Basic Gospel,Far East Broadcasting Company,The Christophers",, fax: (951) 710-1115,Haven Ministries,http://www.havenministries.com/,79.00,,84.44,"
		
			P.O. Box 79997,
			Riverside, CA 92513,
			tel: (800) 654-2836"
"SPCA International,Greenville Humane Society,San Diego Humane Society and SPCA,Dumb Friends League","Heaven Can Wait Sanctuary Animal Society,Humane Society of Charlotte,Pasadena Humane Society & SPCA,Roanoke Valley SPCA",, fax: (808) 955-6034,Hawaiian Humane Society,http://www.hawaiianhumane.org,85.00,,83.34,"
		
			2700 Waialae Avenue,
			Honolulu, HI 96826,
			tel: (808) 356-2213"
"Boys Town,Covenant House,Cal Farley's,Austin Children's Services","Kids in Crisis,Lives Under Construction Boys Ranch,Place of Hope,Austin Children's Services",, fax: (561) 487-8007,The Haven,http://www.haven4kids.org/,Not yet scored or rated,,87.79,"
		
			21441 Boca Rio Road,
			Boca Raton, FL 33433,
			tel: (561) 483-0962"
"American Jewish Joint Distribution Committee,Jewish Federation of South Palm Beach County,UJA-Federation of New York,Jewish Federation of Central New Jersey","Jewish Federation of Greater Philadelphia,Jewish Federation of South Palm Beach County,Jewish Federation of Cleveland,United Jewish Federation of Pittsburgh",,": N/A
			",Hatzalah Shomron,,,,85.94,"
		
			Avenue,
			Brooklyn, NY 11210,
			
            "
"Rape, Abuse & Incest National Network,Shelter for Abused Women & Children,The Blue Bench,The Family Place","Rape, Abuse & Incest National Network,Doorways for Women and Families,La Casa de las Madres,Hubbard House",," 
                TTY: (248) 334-1290",HAVEN,http://haven-oakland.org,96.00,,86.98,"
		
			P.O. Box 431045,
			Pontiac, MI 48343,
			tel: (248) 334-1284"
"American Jewish Joint Distribution Committee,Jewish Federation of South Palm Beach County,UJA-Federation of New York,Jewish Federation of Central New Jersey","Jewish Federation of Greater Atlanta,Milwaukee Jewish Federation,Jewish Federation of Greater Long Beach and West Orange County,Jewish United Fund of Metropolitan Chicago",,": 33-1077033
			",Hatzalah Rescue of Israel,,,,85.08,"
		
			1493 Coney Island Ave,
			Brooklyn, NY 11230,
			
            "
"Autism Research Institute,Christopher & Dana Reeve Foundation,Children's Tumor Foundation,Pediatric Brain Tumor Foundation","The Jackson Laboratory,Mesothelioma Applied Research Foundation,Aaron Diamond AIDS Research Center,Dystonia Medical Research Foundation",, fax: (845) 424-4545,The Hastings Center,http://thehastingscenter.org/,90.00,,86.13,"
		
			21 Malcolm Gordon Road,
			Garrison, NY 10524,
			tel: (845) 424-4040"
"Abraham Joshua Heschel School,Yeshivat Shaare Torah,Glenwood Academy,KIPP DC","Lydia Patterson Institute,Greenhill School,Columbus Academy,Maret School",, fax: (216) 397-0798,Hathaway Brown School,http://www.hb.edu,89.00,,82.01,"
		
			19600 North Park Boulevard,
			Shaker Heights, OH 44122,
			tel: (216) 320-8775"
"Allen-Stevenson School,Bernard Zell Anshe Emet Day School,Epiphany School,Sacred Heart Nativity School","Allen-Stevenson School,Epiphany School,Center for Early Education,St. Philip's School and Community Center",, fax: (317) 479-3123,Hasten Hebrew Academy of Indianapolis,http://www.hhai.org/,54.00,,64.33,"
		
			6602 Hoover Road,
			Indianapolis, IN 46260,
			tel: (317) 251-1261"
"Midwest Food Bank,Community FoodBank of New Jersey,City Harvest,The Billings Food Bank","Feeding America Southwest Virginia,Gleaners Food Bank of Indiana, Inc.,Greater Pittsburgh Community Food Bank,The FoodBank of Monmouth and Ocean Counties",, fax: (803) 254-6011,Harvest Hope Food Bank,http://www.harvesthope.org/,97.00,,95.69,"
		
			2220 Shop Road,
			Columbia, SC 29201,
			tel: (803) 254-4432"
"American Bible Society,Answers in Genesis,Ravi Zacharias International Ministries,Ramesh Richard Evangelism and Church Health","Ravi Zacharias International Ministries,Pioneer Bible Translators,Precept Ministries International,Ramesh Richard Evangelism and Church Health",, fax: (408) 927-9830,Harvest Evangelism,http://www.harvestevan.org,71.00,,79.21,"
		
			P.O. Box 20310,
			San Jose, CA 95160,
			tel: (800) 835-7979"
"Midwest Food Bank,Community FoodBank of New Jersey,City Harvest,The Billings Food Bank","Food Bank of Contra Costa and Solano,Atlanta Community Food Bank,Feeding America Eastern Wisconsin,Chattanooga Area Food Bank",, fax: (816) 929-3123,Harvesters: The Community Food Network,http://www.harvesters.org,97.00,,96.58,"
		
			3801 Topping Avenue,
			Kansas City, MO 64129,
			tel: (816) 929-3000"
"The Voice of the Martyrs,Catholic Near East Welfare Association (CNEWA),Open Doors USA,Christian Aid Ministries","Youth for Christ International Ministries,Awana,East-West Ministries International,The Outreach Foundation ",, fax: (352) 622-2569,Harvest International,http://www.harvestinternational.org/,70.00,,71.16,"
		
			P.O. Box 6690,
			Ocala, FL 34478,
			tel: (352) 622-1818"
"The Archer School for Girls,Mercersburg Academy,Genesis School,Phillips Exeter Academy","Chatham Hall,Phillips Exeter Academy,Harpeth Hall,The Culver Academies",, fax: (310) 288-3323,Harvard-Westlake School,http://www.hw.com/,89.00,,83.38,"
		
			700 North Faring Road,
			Los Angeles, CA 90077,
			tel: (310) 288-3308"
"Carnegie Mellon University,Cornell University,Rochester Institute of Technology,Icahn School of Medicine at Mount Sinai","Loyola University Chicago,Yale University,Tulane University,Brown University",, fax: (617) 495-8130,Harvard University,http://www.harvard.edu,89.00,,89.71,"
		
			Massachusetts Hall,
			Cambridge, MA 02138,
			tel: (800) 446-1277"
"ASU Foundation,The Alumni Association of the University of Virginia,Alumni Association of Kansas State University,Boston Latin School Association","The Alumni Association of the University of Virginia,UConn Alumni Association,Boston Latin School Association,ASU Foundation",, fax: (617) 495-0324,Harvard Magazine,http://harvardmagazine.com/,97.00,,75.13,"
		
			Seven Ware Street,
			Cambridge, MA 02138,
			tel: (617) 495-5746"
"The Los Angeles Philharmonic,Detroit Symphony Orchestra,San Diego Symphony,New York Philharmonic","Chicago Symphony Orchestra,Sarasota Orchestra,Dayton Performing Arts Alliance,Minnesota Orchestra",,"
			tel: (860) 246-8742",Hartford Symphony Orchestra,http://www.hartfordsymphony.org/,89.00,,87.82,"
		
			100 Pearl Street,
			2nd Floor, East Tower, Hartford, CT 06103"
"A Noise Within,Childsplay,The Public Theater/New York Shakespeare Festival,The Goodman Theatre","CENTERSTAGE,California Shakespeare Theater,Lincoln Center Theater,Oregon Shakespeare Festival",,"
			tel: (860) 520-7243",Hartford Stage,http://www.hartfordstage.org/,89.00,,82.53,"
		
			99 Pratt Street,
			4th floor, Hartford, CT 06103"
"Community Foundation of New Jersey,Austin Community Foundation,California Community Foundation,Orange County Community Foundation","The Denver Foundation,New Hampshire Charitable Foundation,New York Community Trust,The Seattle Foundation",,"
			tel: (860) 548-1888",Hartford Foundation for Public Giving,http://www.hfpg.org/,97.00,,85.44,"
		
			10 Columbus Boulevard,
			8th Floor, Hartford, CT 06106"
"Ronald Reagan Presidential Foundation,George Bush Presidential Library Foundation,John F. Kennedy Library Foundation,The Huntington Library, Art Collections, and Botanical Gardens","The Richard Nixon Foundation,Ronald Reagan Presidential Foundation,Library Company of Philadelphia,The Huntington Library, Art Collections, and Botanical Gardens",, fax: (816) 268-8295,Harry S. Truman Library Institute,http://www.trumanlibrary.org/institute/,93.00,,76.11,"
		
			500 West US Highway 24,
			Independence, MO 64050,
			tel: (800) 833-1225"
"Habitat for Humanity of San Antonio,Habitat For Humanity of Spartanburg,Cedar Valley Habitat for Humanity,Atlanta Habitat for Humanity","Habitat for Humanity Metro Maryland,Morris Habitat for Humanity,Habitat for Humanity of Brevard County,Habitat for Humanity of Eastern Connecticut",, fax: (860) 541-2211,Hartford Area Habitat for Humanity,http://www.hartfordhabitat.org/,100.00,,89.15,"
		
			780C Windsor Street,
			Hartford, CT 06120,
			tel: (860) 541-2208"
"The Los Angeles Philharmonic,Detroit Symphony Orchestra,San Diego Symphony,New York Philharmonic","Dallas Symphony Orchestra,The Los Angeles Philharmonic,Toledo Symphony,Flint Institute of Music",,"
			tel: (717) 545-5527",Harrisburg Symphony Orchestra,http://www.harrisburgsymphony.org/,85.00,,82.66,"
		
			800 Corporate Circle,
			Suite 101, Harrisburg, PA 17110"
"Midwest Food Bank,Community FoodBank of New Jersey,City Harvest,The Billings Food Bank","The Food Bank for Central & Northeast Missouri,All Faiths Food Bank,Foodbank of the Virginia Peninsula,Community Food Bank of Eastern Oklahoma",, fax: (239) 337-1399,Harry Chapin Food Bank of Southwest Florida,http://harrychapinfoodbank.org,100.00,,97.97,"
		
			3760 Fowler Street,
			Fort Myers, FL 33901,
			tel: (239) 334-7007"
"The Voice of the Martyrs,Catholic Near East Welfare Association (CNEWA),Open Doors USA,Christian Aid Ministries","Maranatha Volunteers International,ASAP Ministries,Forward Edge International,Heart to Honduras",, fax: (918) 496-3072,Harrison International,http://www.increase.org,50.00,,57.89,"
		
			2109 East 69th Street,
			Tulsa, OK 74136,
			tel: (800) 632-4653"
"Audubon Naturalist Society,Access Fund,Western Pennsylvania Conservancy,American Hiking Society","New York-New Jersey Trail Conference,Greater Newark Conservancy,Great Meadow Foundation,Boston Harbor Island Alliance",, fax: (603) 525-3395,Harris Center for Conservation Education,http://www.harriscenter.org/,89.00,,92.15,"
		
			83 King's Highway,
			Hancock, NH 03449,
			tel: (603) 525-3394"
"The Archer School for Girls,Mercersburg Academy,Genesis School,Phillips Exeter Academy","The Archer School for Girls,The Hill School,St. Andrew's-Sewanee School,John Burroughs School",, fax: (615) 846-1366,Harpeth Hall,http://www.harpethhall.org,89.00,,89.85,"
		
			3801 Hobbs Road,
			Nashville, TN 37215,
			tel: (615) 346-0087"
"National Constitution Center,Intrepid Museum Foundation,Admiral Nimitz Foundation,International Tennis Hall of Fame","Oakland Museum of California,American Film Institute,National Civil Rights Museum,Museum of the Moving Image",, fax: (845) 294-3463,The Harness Racing Museum & Hall of Fame,http://www.harnessmuseum.com/,78.00,,78.48,"
		
			240 Main Street,
			Goshen, NY 10924,
			tel: (845) 294-6330"
"Little Kids Rock,Education Through Music, Inc. (New York),DreamYard Project,National YoungArts Foundation","Cleveland Institute of Music,Interlochen Center for the Arts,Chicago Arts Partnerships in Education,The Juilliard School",,"
			tel: (323) 462-4311",The Harmony Project,http://www.harmony-project.org,85.00,,88.97,"
		
			817 Vine Street,
			Suite 212, Los Angeles, CA 90038"
"FIRST,DonorsChoose.org,Kids In Need Foundation,Adopt-A-Classroom","MIND Research Institute,Fulfillment Fund,TAF,PENCIL",,"
			tel: (646) 812-9500",Harlem Village Academies,http://www.harlemvillageacademies.org,89.00,,90.39,"
		
			c/o Harlem Villages Academies,
			15 Penn Plaza #15, New York, NY 10001"
"New Jersey Performing Arts Center,McCarter Theatre Center for the Performing Arts,Lincoln Center for the Performing Arts,The John F. Kennedy Center for the Performing Arts","Wolf Trap Foundation for the Performing Arts,McCarter Theatre Center for the Performing Arts,Carnegie Hall,Symphony Space",, fax: (212) 281-9318,Harlem Stage,http://www.harlemstage.org/,89.00,,83.68,"
		
			150 Convent Avenue,
			New York, NY 10031,
			tel: (212) 281-9240"
"Boys & Girls Clubs of America,Big Brothers Big Sisters of America,The Fresh Air Fund,California Police Youth Charities","Boy Scouts of America, Orange County Council,Boys & Girls Clubs of Martin County,Boys & Girls Clubs of Greater Houston,Big Brothers Big Sisters of Pinellas County",,"
			tel: (212) 722-1608",Harlem RBI,http://www.harlemrbi.org/,Not yet scored or rated,,96.88,"
		
			333 East 100th Street,
			Ground Floor, New York, NY 10029"
"Little Kids Rock,Education Through Music, Inc. (New York),DreamYard Project,National YoungArts Foundation","Artists For Humanity,Little Kids Rock,National YoungArts Foundation,Third Street Music School Settlement",," 
            ",The Harlem School of the Arts,http://www.hsanyc.org/,81.00,,69.84,"
		
			645 Saint Nicholas Avenue,
			New York, NY 10030,
			tel: (212) 926-4100"
"Young Life,Teen Mania Ministries,InterVarsity Christian Fellowship/USA,Fellowship of Christian Athletes","Military Community Youth Ministries,Young Life,Fellowship of Christian Athletes,Student Mobilization",, fax: (617) 864-1637,Harvard Hillel,http://hillel.harvard.edu/,81.00,,73.17,"
		
			52 Mount Auburn Street,
			Cambridge, MA 02138,
			tel: (617) 495-4695"
"The Children's Aid Society,Aid for Starving Children,Our Lady's Inn,Children's Home Society of Florida","Julie's Family Learning Program,Jewish Family Service of San Diego,The Children's Aid Society,St. Ann's Center for Children, Youth and Families",, fax: (212) 289-0661,Harlem Children's Zone,http://www.hcz.org/,Not yet scored or rated,,97.79,"
		
			35 East 125th Street,
			New York, NY 10035,
			tel: (212) 360-3255"
"Abraham Joshua Heschel School,Yeshivat Shaare Torah,Glenwood Academy,KIPP DC","The Potter's House,The Seven Hills School,Punahou School,New Canaan Country School",, fax: (212) 348-3500,Harlem Academy,http://www.harlemacademy.org/,100.00,,91.45,"
		
			1330 Fifth Avenue,
			New York, NY 10026,
			tel: (212) 348-2600"
"SOME,Coalition for the Homeless of Central Florida,Metropolitan Ministries,New England Center for Homeless Veterans","reStart Inc.,Project H.O.M.E.,Thrive DC,Downtown Women's Center",, fax: (310) 831-0791,Harbor Interfaith Services,http://www.harborinterfaith.org,Not yet scored or rated,,84.35,"
		
			670 West 9th Street,
			San Pedro, CA 90731,
			tel: (310) 831-0603"
"Exploration Place,Boston Children's Museum,Children's Museum of Houston,Children's Discovery Museum of San Jose","Children's Museum of Manhattan,Bay Area Discovery Museum,Lincoln Children's Museum,Children's Museum of Houston",, fax: (360) 754-8626,Hands on Children's Museum,http://www.hocm.org/,78.00,,82.96,"
		
			414 Jefferson Street NE,
			Olympia, WA 98501,
			tel: (360) 956-0818"
"CompassPoint Nonprofit Services,Keep America Beautiful,Local Initiatives Support Corporation,Center for Resilient Cities","Community Action Services and Food Bank,Mayor's Fund to Advance New York City,Neighborhood Partnerships,Fund for the City of New York",,"
			tel: (615) 298-1108",Hands on Nashville,http://www.hon.org/,81.00,,86.29,"
		
			37 Peabody Street,
			Suite 206, Nashville, TN 37210"
"Palestine Children's Relief Fund,Invisible Children,United Palestinian Appeal, Inc.,Sudan Relief Fund","Hope for Haiti Children's Center - Danita's Children,Beyond Borders,United Palestinian Appeal, Inc.,Sudan Relief Fund",, fax: (413) 731-6405,Hands Together,http://www.handstogether.org,88.00,,90.01,"
		
			P.O. Box 80985,
			Springfield, MA 01138,
			tel: (413) 731-7716"
"Rape, Abuse & Incest National Network,Shelter for Abused Women & Children,The Blue Bench,The Family Place","Joe Torre Safe At Home Foundation,Family Violence Prevention Services, Inc.,HAVEN,National Network to End Domestic Violence",, fax: (920) 832-1622,Harbor House Domestic Abuse Programs,http://www.harborhouseonline.org,82.00,,84.52,"
		
			720 West  Fifth Street,
			Appleton, WI 54914,
			tel: (800) 970-1171"
"CompassPoint Nonprofit Services,Keep America Beautiful,Local Initiatives Support Corporation,Center for Resilient Cities","Keep America Beautiful,Beyond Housing,Neighborhood Partnerships,Mayor's Fund to Advance New York City",,"
			tel: (404) 979-2853",Hands On Atlanta,http://www.handsonatlanta.org/,97.00,,81.04,"
		
			600 Means Street,
			Suite 100, Atlanta, GA 30318"
"Palestine Children's Relief Fund,Invisible Children,United Palestinian Appeal, Inc.,Sudan Relief Fund","Developments in Literacy,Nepal Youth Foundation,Association for India's Development,Human Development Foundation of North America",,"
			tel: (301) 891-2138",Handicap International US,http://www.handicap-international.us,96.00,,89.28,"
		
			6930 Carroll Avenue,
			Suite 240, Takoma Park, MD 20912"
"Vietnam Veterans Memorial Fund,National Law Enforcement Officers Memorial Fund,Daughters of the American Revolution,Center for Jewish History","Nantucket Historical Association,The South Carolina Historical Society,Senator John Heinz History Center- Historical Society of Western Pennsylvania,The Massachusetts Historical Society",, fax: (413) 447-9357,Hancock Shaker Village,http://www.hancockshakervillage.org,93.00,,76.13,"
		
			P.O. Box 927,
			Pittsfield, MA 01202,
			tel: (413) 443-0188"
"Islamic Relief USA,International Rescue Committee,Catholic Relief Services,Action Against Hunger | ACF-USA","Timmy Global Health,WaterAid America,ShelterBox USA,Rotaplast International",, fax: (502) 459-9945,Hand in Hand Ministries,http://www.myhandinhand.org,92.00,,87.78,"
		
			2225 Steier Lane,
			Louisville, KY 40218,
			tel: (888) 244-9056"
"Sundance Institute,Arizona Sports Foundation,Aspen Music Festival and School,Williamstown Theatre Festival","Santa Fe Chamber Music Festival,Spoleto Festival USA,Aspen Music Festival and School,Stern Grove Festival Association",, fax: (631) 324-1558,Hamptons International Film Festival,http://hamptonsfilmfest.org/,81.00,,81.86,"
		
			47 Newtown Lane,
			East Hampton, NY 11937,
			tel: (631) 324-4600"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Alamance County,Orange County United Way,United Way of Greater New Bedford,United Way of Brazoria County",,"
			tel: (413) 584-3962",United Way of Hampshire County,http://unitedwayhampshirecounty.org/,89.00,,83.08,"
		
			71 King Street,
			P.O Box 123, Northampton, MA 01060"
"Carnegie Mellon University,Cornell University,Rochester Institute of Technology,Icahn School of Medicine at Mount Sinai","Dartmouth College,University of St. Thomas,Stanford University,University of San Francisco",,"
			tel: (888) 483-6723",Hampton University,http://www.hamptonu.edu,85.00,,85.26,"
		
			Office of Development,
			Hampton University, Hampton, VA 23668    "
"Community Foundation of New Jersey,Austin Community Foundation,California Community Foundation,Orange County Community Foundation","Maine Community Foundation,North Carolina Community Foundation,Community Foundation of Greater Memphis,Hawaii Community Foundation",,"
			tel: (757) 622-7951",Hampton Roads Community Foundation,http://www.hamptonroadscf.org/,100.00,,93.38,"
		
			101 West Main Street,
			Suite 4500, Norfolk, VA 23510"
"SPCA International,Greenville Humane Society,San Diego Humane Society and SPCA,Dumb Friends League","Humane Society of Huron Valley,Animal Humane New Mexico,Animal Allies Humane Society,Humane Society of Harrisburg Area",," 
            ",HALO Animal Rescue,http://www.halorescue.org,67.00,,75.73,"
		
			2500 South 27th Avenue,
			Phoenix, AZ 85009,
			tel: (602) 971-9222"
"American Bar Association Fund for Justice and Education,Law Enforcement Legal Defense Fund,Advocates for Children of New York,Her Justice","Legal Aid Society of San Mateo County,National Consumer Law Center,Public Law Center,Catholic Legal Immigration Network. Inc. (CLINIC)",,"
			tel: (888) 367-4258",HALT,http://www.halt.org,72.00,,54.77,"
		
			1612 K Street, NW,
			Suite 1102, Washington, DC 20006"
"Metropolitan Museum of Art,Chrysler Museum of Art,Museum of Fine Arts, Boston,The Detroit Institute of Arts","San Diego Museum of Art,Phoenix Art Museum,Metropolitan Museum of Art,Chrysler Museum of Art",, fax: (310) 443-7099,Hammer Museum,http://www.hammer.ucla.edu,85.00,,87.22,"
		
			10899 Wilshire Boulevard,
			Los Angeles, CA 90024,
			tel: (310) 443-7050"
"SPCA International,Greenville Humane Society,San Diego Humane Society and SPCA,Dumb Friends League","Houston SPCA,Capital Humane Society,Humane Society of the Pikes Peak Region,Roanoke Valley SPCA",,"
			tel: (386) 274-4703",Halifax Humane Society,http://www.halifaxhumanesociety.org/,93.00,,92.25,"
		
			2364 LPGA Boulevard,
			P.O. Box 9035, Daytona Beach, FL 32124"
"World Vision,Save the Children,Compassion International,ChildFund International","Unbound,Pearl S. Buck International,Kids Alive International,Christian Relief Fund",,"
			tel: (510) 525-3377",Half the Sky Foundation,http://halfthesky.org/,100.00,,95.63,"
		
			715 Hearst Avenue,
			Suite 200, Berkeley, CA 94710"
"Hillsdale College,Wellesley College,Wheaton College,Amherst College","Vassar College,St. Olaf College,DePauw University,Lawrence University",, fax: (315) 859-4648,Hamilton College,http://www.hamilton.edu,89.00,,89.98,"
		
			198 College Hill Road,
			Clinton, NY 13323    ,
			tel: (866) 729-0315"
"Islamic Relief USA,International Rescue Committee,Catholic Relief Services,Action Against Hunger | ACF-USA","Fistula Foundation,Free the Children USA,American Relief Agency for the Horn of Africa (ARAHA),Timmy Global Health",," 
            ",The Haitian Project,http://haitianproject.org/,55.00,,67.63,"
		
			P.O. Box 6891,
			Providence, RI 02940,
			tel: (401) 351-3624"
"Boys Town,Covenant House,Cal Farley's,Austin Children's Services","Epworth Children's Home,Florida United Methodist Children's Home,Paul Anderson Youth Home,Family & Children's Place",, fax: (212) 749-2888,Hale House Center,http://www.halehouse.org,Not yet scored or rated,,66.57,"
		
			152 West 122nd Street,
			New York, NY 10027,
			tel: (212) 663-0700"
"Palestine Children's Relief Fund,Invisible Children,United Palestinian Appeal, Inc.,Sudan Relief Fund","United Palestinian Appeal, Inc.,Free The Kids,BRAC USA,Sudan Relief Fund",, fax: (860) 859-9887,Haitian Health Foundation,http://www.haitianhealthfoundation.org/,100.00,,85.20,"
		
			97 Sherman Street,
			Norwich, CT 06360,
			tel: (860) 886-4357"
"The Voice of the Martyrs,Catholic Near East Welfare Association (CNEWA),Open Doors USA,Christian Aid Ministries","Ukrainian Catholic Education Foundation,International Christian Concern,Heart to Honduras,Global Scholars",, fax: (800) 856-4463,Haitian Christian Mission,http://www.haitianchristianmission.org/,58.00,,69.99,"
		
			4550 Highway 20 SE,
			Conyers, GA 30013,
			tel: (678) 787-9555"
"charity: water,Kiva,Women for Women International,GlobalGiving","Worldwide Foundation for Credit Unions,Global Fund for Children,International Youth Foundation,One Acre Fund",,"
			tel: (612) 929-1122",Haiti Outreach,http://haitioutreach.org,89.00,,90.04,"
		
			50 Ninth Avenue South,
			Suite 203, Hopkins, MN 55343"
"The Voice of the Martyrs,Catholic Near East Welfare Association (CNEWA),Open Doors USA,Christian Aid Ministries","Adventist Frontier Missions,Holy Land Christian Ecumenical Foundation,Asian Access,Commission To Every Nation",, fax: (770) 449-8457,Haggai Institute,http://www.haggai-institute.com,81.00,,71.88,"
		
			P.O. Box 13,
			Atlanta, GA 30370,
			tel: (800) 642-4424"
"National Center for Learning Disabilities,Perkins School for the Blind,Central Institute for the Deaf,Learning Ally","The International Dyslexia Association,National Center for Learning Disabilities,Perkins School for the Blind,St. Rita School for the Deaf",, fax: (847) 446-0855,The Hadley School for the Blind,http://www.hadley.edu/,96.00,,80.57,"
		
			700 Elm Street,
			Winnetka, IL 60093,
			tel: (800) 323-4238"
"Smithsonian Institution,Natural History Museum of Los Angeles County,Exploratorium,Museum of New Mexico Foundation","Museum of Arts & Design,Carnegie Museums of Pittsburgh,Smithsonian Institution,Natural History Museum of Los Angeles County",, fax: (302) 658-0568,Hagley Museum and Library,http://www.hagley.org,85.00,,88.68,"
		
			298 Buck Road East,
			Wilmington, DE 19807,
			tel: (302) 658-2400"
"Friends of the Israel Defense Forces,American Friends of Magen David Adom,Jewish National Fund, United States,American Friends of Yad Eliezer","American Society for the Protection of Nature in Israel,American Associates, Ben-Gurion University of the Negev,New Israel Fund,Alexander Muss Institute for Israel Education",," 
            ","Hadassah, The Women's Zionist Organization of America",http://www.hadassah.org,100.00,,98.75,"
		
			50 West 58th Street,
			New York, NY 10019,
			tel: (866) 229-2395"
